submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
08/07/2020,ND,"7,508","7,508",0,181,0,112,,,2,0,08/08/2020 02:58:44 PM,Agree,Not agree
08/26/2020,NY,"198,515",,,306,0,"8,936",,,1,0,08/27/2020 01:42:08 PM,Not agree,Not agree
05/27/2020,AZ,"17,262","17,262",0,479,0,831,831,0,24,0,05/28/2020 03:12:25 PM,Agree,Agree
05/03/2020,OR,"2,680","2,680",0,45,0,109,109,0,0,0,05/04/2020 10:49:24 PM,Agree,Agree
06/18/2020,WV,"2,418","2,336",82,42,1,88,,,0,0,06/19/2020 03:01:11 PM,Agree,Not agree
11/03/2020,MS,"122,275","106,024","16,251",766,487,"3,397","3,045",352,13,4,11/04/2020 03:03:00 PM,Agree,Agree
10/24/2020,VA,"173,371","161,668","11,703",999,174,"3,579","3,329",250,1,0,10/25/2020 01:45:35 PM,Agree,Agree
03/12/2020,NY,230,,,66,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
05/17/2020,MP,21,21,0,0,0,2,2,0,0,0,05/18/2020 04:01:54 PM,Agree,Agree
01/29/2020,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
02/24/2020,RMI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10/20/2020,MS,"112,123","99,919","12,204",801,333,"3,223","2,919",304,21,5,10/21/2020 01:34:31 PM,Agree,Agree
02/14/2021,PR,"97,837","90,429","7,408",228,25,"1,920","1,623",297,5,1,02/15/2021 02:46:24 PM,Agree,Agree
07/04/2020,NH,"5,857",,,35,0,376,,,1,0,07/05/2020 03:00:14 PM,Not agree,Not agree
06/10/2020,LA,"44,030",,,418,0,"2,968","2,855",113,11,0,06/11/2020 02:48:51 PM,Not agree,Agree
08/14/2020,CT,"50,897","48,887","2,010",115,2,"4,453","3,569",884,3,0,08/15/2020 02:02:05 PM,Agree,Agree
10/07/2020,NM,"31,372",,,425,0,896,,,2,0,10/08/2020 01:56:57 PM,N/A,Not agree
03/08/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
02/22/2021,UT,"367,073","367,073",0,338,0,"1,853","1,796",57,1,0,02/23/2021 02:51:13 PM,Agree,Agree
03/29/2020,VI,23,,,0,,0,,,0,,03/28/2020 04:22:39 PM,,
